City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,saipan,15.2123,145.7545,87.94,70,0,9.22,MP,1722913423
202,ghat,24.9633,10.18,84.49,19,0,6.02,LY,1722913423
203,armacao de buzios,-22.7469,-41.8817,71.65,89,0,20.0,BR,1722913404
204,nyurba,63.2842,118.3319,61.95,68,99,7.02,RU,1722913194
205,okhotsk,59.362,143.2147,52.66,88,100,22.73,RU,1722913425
206,tianpeng,30.9866,103.9393,84.67,78,96,3.36,CN,1722913425
207,saint-philippe,-21.3609,55.7679,66.16,71,8,3.83,RE,1722913425
208,praia da vitoria,38.7333,-27.0667,77.25,83,75,4.79,PT,1722913327
209,broome,-17.9554,122.2392,80.62,34,75,8.05,AU,1722913426
210,sola,-13.8761,167.5517,76.62,68,99,22.68,VU,1722913426
211,la passe,-4.3481,55.8327,77.63,85,23,18.45,SC,1722913427
212,castroville,36.7658,-121.758,69.26,83,0,11.5,US,1722913418
213,'ali sabieh,11.1558,42.7125,89.73,73,99,17.34,DJ,1722913428
214,college,64.8569,-147.8028,87.78,33,20,9.22,US,1722913428
215,cataingan,12.003,123.992,85.15,75,100,17.81,PH,1722913428
216,gadzhiyevo,69.2551,33.3362,51.15,63,13,4.65,RU,1722913302
217,eufaula,31.8913,-85.1455,80.64,77,0,3.44,US,1722913202
218,visby,57.6409,18.296,52.02,100,0,0.0,SE,1722913429
219,valguarnera caropepe,37.4953,14.3903,73.45,81,0,1.16,IT,1722913430
220,zhangye,38.9342,100.4517,81.55,30,99,11.77,CN,1722913430
221,lagoa santa,-19.6301,-43.9009,66.24,72,0,2.3,BR,1722913431
222,micheweni,-4.9667,39.8333,73.74,82,7,9.22,TZ,1722913431
223,hiratacho,35.4333,132.8167,89.62,70,40,5.75,JP,1722913431
224,jabor,5.921,169.6434,83.3,73,30,7.56,MH,1722913432
225,ha'il,27.5219,41.6907,77.02,36,0,4.61,SA,1722913432
226,kayangel,8.0823,134.7173,84.31,73,100,8.03,PW,1722913433
227,kwadukuza,-29.3282,31.2895,51.69,86,0,4.43,ZA,1722913433
228,arraial do cabo,-22.9661,-42.0278,72.41,87,0,24.83,BR,1722913301
229,rio gallegos,-51.6226,-69.2181,32.05,80,0,13.8,AR,1722913434
230,sakakah,29.9697,40.2064,78.37,29,0,7.0,SA,1722913434
231,iowa park,33.9515,-98.6687,86.95,47,0,8.05,US,1722913392
232,yorosso,12.3581,-4.7769,72.68,93,97,5.23,ML,1722913435
233,udachny,66.4299,112.4021,51.12,68,57,26.19,RU,1722913436
234,villa gesell,-37.2639,-56.973,53.06,90,100,17.78,AR,1722913393
235,lashio,22.9359,97.7498,77.02,77,100,2.13,MM,1722913436
236,guerrero negro,27.9689,-114.0443,71.38,80,0,11.74,MX,1722913437
237,flying fish cove,-10.4217,105.6791,74.88,94,75,9.22,CX,1722913437
238,valdovino,43.6,-8.1333,67.86,90,100,7.2,ES,1722913437
239,inda silase,14.1031,38.2829,60.06,95,100,0.98,ET,1722913438
240,taro,-6.7111,156.3972,82.02,78,43,4.32,PG,1722913438
241,sao vicente,32.7967,-17.0432,70.7,77,49,5.86,PT,1722913439
242,sidi ifni,29.3798,-10.173,67.75,89,29,7.45,MA,1722913439
243,cuajinicuilapa,16.4735,-98.4139,77.38,90,40,0.87,MX,1722913439
244,tofol,5.3248,163.0078,85.78,74,75,8.05,FM,1722913440
245,lae,-6.7233,146.9961,77.49,81,94,6.15,PG,1722913440
246,brookings,42.0526,-124.284,61.83,90,100,3.44,US,1722913441
247,vostochnyy,58.7999,61.8139,59.32,98,100,4.83,RU,1722913441
248,berbera,10.4396,45.0143,85.62,60,99,11.86,SO,1722913441
249,bandon,51.7469,-8.7425,51.39,94,19,7.94,IE,1722913442
250,aver-o-mar,41.4061,-8.7796,69.28,96,9,4.63,PT,1722913442
251,aldinga beach,-35.2783,138.458,58.71,83,87,13.4,AU,1722913443
252,ghanzi,-21.6979,21.6458,50.16,25,0,8.93,BW,1722913443
253,ilomantsi,62.6716,30.9328,53.69,91,100,3.83,FI,1722913443
254,nanao,37.05,136.9667,88.0,77,100,6.35,JP,1722913444
255,yagry,64.5942,39.8103,50.11,73,12,7.56,RU,1722913444
256,touros,-5.1989,-35.4608,71.6,85,100,11.68,BR,1722913445
257,arawa,-6.2298,155.566,84.6,76,84,6.13,PG,1722913445
258,nueva helvecia,-34.3,-57.2333,62.6,97,100,10.98,UY,1722913445
259,cockburn town,24.0518,-74.5314,83.37,79,97,14.05,BS,1722913446
260,katsuren-haebaru,26.3329,127.874,91.69,74,75,12.66,JP,1722913446
261,grand falls-windsor,48.9332,-55.6649,64.51,88,90,5.57,CA,1722913447
262,shingu,33.7333,135.9833,86.13,73,17,5.86,JP,1722913447
263,kupang,-10.1708,123.6069,86.09,70,20,13.8,ID,1722913447
264,severo-yeniseyskiy,60.3755,93.0302,64.31,81,92,3.38,RU,1722913448
265,beyneu,45.3167,55.2,89.82,24,91,10.04,KZ,1722913448
266,uaua,-9.8414,-39.4817,65.05,86,20,13.24,BR,1722913449
267,taltal,-25.4071,-70.4855,58.5,64,0,4.21,CL,1722913449
268,brisas de zicatela,15.8369,-97.0419,80.92,85,71,6.96,MX,1722913339
269,scottsbluff,41.8666,-103.6672,81.72,50,0,10.36,US,1722913450
270,usogorsk,63.4106,48.6872,55.36,83,71,6.11,RU,1722913450
271,phichit,16.4418,100.3488,84.25,86,100,3.62,TH,1722913450
272,lompoc,34.6392,-120.4579,60.85,94,100,5.75,US,1722913451
273,grande prairie,55.1667,-118.8027,59.18,88,75,6.91,CA,1722913344
274,nar'yan-mar,67.6387,53.0037,47.97,60,5,12.01,RU,1722913452
275,tranovaho,-25.3,44.9667,61.92,94,12,3.74,MG,1722913452
276,onguday,50.75,86.15,60.31,75,97,1.81,RU,1722913452
277,kodiak,57.7885,-152.4053,55.63,100,100,9.22,US,1722913453
278,coahuayana de hidalgo,18.7022,-103.6615,78.93,88,90,3.8,MX,1722913453
279,saint-pierre,46.7791,-56.1773,63.99,100,100,9.22,PM,1722913453
280,tirumullaivasal,11.24,79.8371,84.99,67,95,5.53,IN,1722913454
281,le port,-20.9375,55.2942,66.15,74,22,4.09,RE,1722913454
282,cabedelo,-6.9811,-34.8339,70.47,79,2,11.5,BR,1722913455
283,santa maria,16.598,-22.9051,77.59,88,75,8.05,CV,1722913455
284,akrehamn,59.2605,5.1869,64.94,68,100,13.8,NO,1722913455
285,mana,5.6691,-53.779,79.88,82,0,11.5,GF,1722913456
286,isiro,2.7739,27.616,67.06,98,100,0.74,CD,1722913456
287,hasaki,35.7333,140.8333,91.29,77,3,10.07,JP,1722913457
288,vilhena,-12.7406,-60.1458,70.56,41,0,5.01,BR,1722913457
289,itaituba,-4.2761,-55.9836,74.86,54,4,2.46,BR,1722913248
290,suomussalmi,64.8869,28.9078,49.62,77,78,4.18,FI,1722913458
291,el abiodh sidi cheikh,32.893,0.5484,81.45,15,57,4.05,DZ,1722913458
292,serdar,38.9764,56.2758,90.28,18,0,15.79,TM,1722913458
293,angra do heroismo,38.6548,-27.2173,77.32,95,75,5.01,PT,1722913459
294,domna,51.8971,113.1573,71.76,53,4,4.47,RU,1722913459
295,tevragh zeina,18.0989,-15.9885,78.8,86,65,15.39,MR,1722913460
296,valle de la pascua,9.2155,-66.0073,72.57,98,100,4.29,VE,1722913460
297,terrace,54.5173,-128.5995,87.71,23,20,8.05,CA,1722913276
298,vadso,70.0735,29.7494,50.88,100,20,5.75,NO,1722912957
299,tutoia,-2.7619,-42.2744,77.99,81,36,11.99,BR,1722913461
300,mansa,-11.1998,28.8943,55.36,36,7,5.1,ZM,1722913461
301,margate,-30.8636,30.3705,55.35,79,0,5.57,ZA,1722913462
302,dryden,49.7833,-92.7503,62.89,63,0,4.61,CA,1722913394
303,savanna-la-mar,18.219,-78.1332,80.55,90,21,2.53,JM,1722913463
304,bengkulu,-3.8004,102.2655,83.05,67,52,7.56,ID,1722913463
305,palikir - national government center,6.9248,158.1611,88.54,74,75,11.5,FM,1722913463
306,olonets,60.9848,32.9698,56.5,95,84,3.83,RU,1722913464
307,kijang,0.9,104.6333,86.09,60,31,14.74,ID,1722913464
308,turpan,42.9477,89.1789,103.78,13,100,4.68,CN,1722913464
309,devinuwara,5.9283,80.5888,82.9,76,94,9.35,LK,1722913465
310,happy valley-goose bay,53.3038,-60.3258,61.12,63,20,5.75,CA,1722913465
311,sabha,27.0377,14.4283,86.81,16,0,17.56,LY,1722913466
312,sur,22.5667,59.5289,84.34,67,97,8.16,OM,1722913466
313,mbandaka,0.0487,18.2603,70.88,83,93,3.27,CD,1722913466
314,tangalle,6.0234,80.7974,79.03,69,82,9.75,LK,1722913467
315,howrah,-42.8873,147.4055,61.48,51,75,20.71,AU,1722913378
316,wad medani,14.4012,33.5199,74.77,81,93,11.68,SD,1722913468
317,astrakhan,51.5309,69.7968,72.54,55,53,6.29,KZ,1722913468
318,guajara mirim,-10.7836,-65.3355,78.17,46,1,3.15,BR,1722913468
319,dolzhanskaya,46.6337,37.8025,72.64,75,77,5.61,RU,1722913469
320,egilsstadir,65.2669,-14.3949,44.51,93,20,2.3,IS,1722913469
321,lembar,-8.7264,116.0744,87.01,66,34,13.09,ID,1722913469
322,lincoln city,44.9582,-124.0179,63.68,81,0,15.99,US,1722913258
